10.172.162.20 - - [03/Dec/2015:00:51:12 -0800] "GET /jenkins/job/SRS_RMA_BUILD_TRIGGER_BY_RMADEV_SP302/build?token=INSTALLER HTTP/1.1" 201 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/ HTTP/1.1" 200 22015
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/css/style.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/css/color.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/css/responsive-grid.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/prototype.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/behavior.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/container/assets/container.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/assets/skins/sam/skin.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/button/assets/skins/sam/button.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/menu/assets/skins/sam/menu.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/adjuncts/632e0264/org/kohsuke/stapler/bind.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/adjuncts/632e0264/lib/layout/breadcrumbs.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/yahoo/yahoo-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/dom/dom-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/event/event-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/dragdrop/dragdrop-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/animation/animation-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/container/container-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/connection/connection-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/datasource/datasource-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/autocomplete/autocomplete-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/menu/menu-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/element/element-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/button/button-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/yui/storage/storage-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/hudson-behavior.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:01 -0800] "GET /jenkins/static/632e0264/scripts/sortable.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/scripts/yui/cookie/cookie-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/adjuncts/632e0264/lib/layout/breadcrumbs.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/headshot.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/title.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/16x16/help.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/24x24/notepad.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/16x16/collapse.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/32x32/blue.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/32x32/health-80plus.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/16x16/search.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/16x16/health-80plus.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/32x32/red.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/32x32/health-00to19.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/16x16/health-00to19.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/32x32/health-60to79.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/adjuncts/632e0264/lib/layout/menu_right_arrow2.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/adjuncts/632e0264/lib/layout/menu_down_arrow.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/32x32/blue_anime.gif HTTP/1.1" 200 7546
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/16x16/health-60to79.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/32x32/health-40to59.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/16x16/health-40to59.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/images/atom.gif HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:02 -0800] "GET /jenkins/static/632e0264/plugin/translation/flags.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:03 -0800] "GET /jenkins/static/632e0264/images/top-sticker-bottom-edge.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:05 -0800] "GET /jenkins/view/SP302/ HTTP/1.1" 200 6462
10.58.180.73 - - [03/Dec/2015:23:56:05 -0800] "GET /jenkins/static/632e0264/css/style.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:05 -0800] "GET /jenkins/static/632e0264/css/color.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:05 -0800] "GET /jenkins/static/632e0264/css/responsive-grid.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:05 -0800] "GET /jenkins/static/632e0264/scripts/prototype.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:05 -0800] "GET /jenkins/static/632e0264/scripts/behavior.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:05 -0800] "GET /jenkins/static/632e0264/scripts/yui/container/assets/container.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:05 -0800] "GET /jenkins/static/632e0264/scripts/yui/assets/skins/sam/skin.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2015:23:56:05 -0800] "GET /jenkins/static/632e0264/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 304 -
