10.172.162.20 - - [29/Dec/2015:21:19:28 -0800] "GET /jenkins/job/SRS_RMA_BUILD_TRIGGER_BY_RMADEV_SP303/build?token=INSTALLER HTTP/1.1" 405 8553
10.58.180.73 - - [29/Dec/2015:21:36:08 -0800] "GET /jenkins/ HTTP/1.1" 200 5391
10.58.180.73 - - [29/Dec/2015:21:36:08 -0800] "GET /jenkins/static/1b791ed8/images/32x32/health-00to19.png HTTP/1.1" 200 1937
10.58.180.73 - - [29/Dec/2015:21:36:08 -0800] "GET /jenkins/static/1b791ed8/images/16x16/health-00to19.png HTTP/1.1" 200 670
10.58.180.73 - - [29/Dec/2015:21:36:12 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/ HTTP/1.1" 200 6417
10.58.180.73 - - [29/Dec/2015:21:36:17 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/configure HTTP/1.1" 200 26685
10.58.180.73 - - [29/Dec/2015:21:36:18 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.model.FreeStyleProject/checkLabel?value= HTTP/1.1" 200 6
10.58.180.73 - - [29/Dec/2015:21:36:18 -0800] "POST /jenkins/$stapler/bound/6bfdc1b2-4143-4c81-979a-0bf5d7700085/render HTTP/1.1" 200 180
10.58.180.73 - - [29/Dec/2015:21:36:18 -0800] "POST /jenkins/$stapler/bound/37ef661e-7e4c-4530-96dd-683fb7385c9b/render HTTP/1.1" 200 789
10.58.180.73 - - [29/Dec/2015:21:36:18 -0800] "POST /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.CvsRepository/fillCompressionLevelItems HTTP/1.1" 200 154
10.58.180.73 - - [29/Dec/2015:21:36:18 -0800] "POST /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.CvsRepository/fillCompressionLevelItems HTTP/1.1" 200 154
10.58.180.73 - - [29/Dec/2015:21:36:18 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.model.FreeStyleProject/checkCustomWorkspace?value=&customWorkspace= HTTP/1.1" 200 119
10.58.180.73 - - [29/Dec/2015:21:36:18 -0800] "GET /jenkins/checkDisplayName?displayName=&jobName=SP303_SRS_WEEKLY_BUILD HTTP/1.1" 200 6
10.58.180.73 - - [29/Dec/2015:21:36:18 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.CvsRepository/checkCvsRoot?value= HTTP/1.1" 200 113
10.58.180.73 - - [29/Dec/2015:21:36:18 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.CvsModule/checkRemoteName?value= HTTP/1.1" 200 117
10.58.180.73 - - [29/Dec/2015:21:36:19 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.ExcludedRegion/checkPattern?value= HTTP/1.1" 200 6
10.58.180.73 - - [29/Dec/2015:21:36:19 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.CvsRepository/checkCvsRoot?value= HTTP/1.1" 200 113
10.58.180.73 - - [29/Dec/2015:21:36:19 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.CvsModule/checkRemoteName?value= HTTP/1.1" 200 117
10.58.180.73 - - [29/Dec/2015:21:36:19 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.CvsModule/checkProjectsetFileName?value= HTTP/1.1" 200 126
10.58.180.73 - - [29/Dec/2015:21:36:19 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.ExcludedRegion/checkPattern?value= HTTP/1.1" 200 6
