10.173.161.34 - - [11/Sep/2016:08:01:59 -0700] "GET /jenkins/job/SRS_RMA_BUILD_TRIGGER_BY_RMADEV_SP305/build?token=INSTALLER HTTP/1.1" 201 -
10.58.180.73 - - [11/Sep/2016:19:47:56 -0700] "GET /jenkins/ HTTP/1.1" 200 8381
10.58.180.73 - - [11/Sep/2016:19:47:56 -0700] "GET /jenkins/static/436f1172/css/color.css HTTP/1.1" 304 -
10.58.180.73 - - [11/Sep/2016:19:47:56 -0700] "GET /jenkins/static/436f1172/css/responsive-grid.css HTTP/1.1" 304 -
10.58.180.73 - - [11/Sep/2016:19:47:56 -0700] "GET /jenkins/adjuncts/436f1172/org/kohsuke/stapler/bind.js HTTP/1.1" 304 -
10.58.180.73 - - [11/Sep/2016:19:47:56 -0700] "GET /jenkins/static/436f1172/scripts/prototype.js HTTP/1.1" 304 -
10.58.180.73 - - [11/Sep/2016:19:47:56 -0700] "GET /jenkins/static/436f1172/scripts/behavior.js HTTP/1.1" 304 -
10.58.180.73 - - [11/Sep/2016:19:47:57 -0700] "GET /jenkins/static/436f1172/css/style.css HTTP/1.1" 304 -
10.58.180.73 - - [11/Sep/2016:19:47:57 -0700] "GET /jenkins/static/436f1172/scripts/yui/container/assets/container.css HTTP/1.1" 304 -
10.58.180.73 - - [11/Sep/2016:19:47:57 -0700] "GET /jenkins/static/436f1172/scripts/yui/assets/skins/sam/skin.css HTTP/1.1" 304 -
10.58.180.73 - - [11/Sep/2016:19:47:57 -0700] "GET /jenkins/static/436f1172/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 304 -
10.58.180.73 - - [11/Sep/2016:19:47:57 -0700] "GET /jenkins/static/436f1172/scripts/yui/button/assets/skins/sam/button.css HTTP/1.1" 304 -
10.58.180.73 - - [11/Sep/2016:19:47:57 -0700] "GET /jenkins/static/436f1172/scripts/yui/menu/assets/skins/sam/menu.css HTTP/1.1" 304 -
