10.58.180.73 - - [07/Aug/2017:00:18:57 -0700] "GET /jenkins/job/SP307_SRS_DAILY_BUILD_INTEGRATION/ HTTP/1.1" 200 6498
10.173.161.34 - - [07/Aug/2017:09:15:46 -0700] "GET /jenkins/job/SRS_RMA_BUILD_TRIGGER_BY_RMADEV_160SP03PL02/build?token=INSTALLER HTTP/1.1" 201 -
10.173.2.102 - - [07/Aug/2017:21:12:39 -0700] "GET /jenkins/job/160SP03PL02_SRS_DAILY_BUILD_AND_DROP_TO_ASE/api/json/ HTTP/1.1" 200 30831
10.173.2.102 - - [07/Aug/2017:21:12:39 -0700] "POST /jenkins/job/160SP03PL02_SRS_DAILY_BUILD_AND_DROP_TO_ASE/build?delay=0 HTTP/1.1" 201 -
10.173.2.102 - - [07/Aug/2017:21:12:39 -0700] "GET /jenkins/job/160SP03PL02_SRS_DAILY_BUILD_AND_DROP_TO_ASE/27/api/json HTTP/1.1" 200 542
10.173.2.102 - - [07/Aug/2017:21:12:39 -0700] "GET /jenkins/job/160SP03PL02_SRS_DAILY_BUILD_AND_DROP_TO_ASE/27/api/json HTTP/1.1" 200 542
10.173.2.102 - - [07/Aug/2017:21:13:40 -0700] "GET /jenkins/job/160SP03PL02_SRS_DAILY_BUILD_AND_DROP_TO_ASE/27/api/json HTTP/1.1" 200 1203
10.173.2.102 - - [07/Aug/2017:21:14:40 -0700] "GET /jenkins/job/160SP03PL02_SRS_DAILY_BUILD_AND_DROP_TO_ASE/27/api/json HTTP/1.1" 200 1209
10.173.2.102 - - [07/Aug/2017:21:15:40 -0700] "GET /jenkins/job/160SP03PL02_SRS_DAILY_BUILD_AND_DROP_TO_ASE/27/api/json HTTP/1.1" 200 1209
10.173.2.102 - - [07/Aug/2017:21:16:40 -0700] "GET /jenkins/job/160SP03PL02_SRS_DAILY_BUILD_AND_DROP_TO_ASE/27/api/json HTTP/1.1" 200 1209
10.173.2.102 - - [07/Aug/2017:21:17:40 -0700] "GET /jenkins/job/160SP03PL02_SRS_DAILY_BUILD_AND_DROP_TO_ASE/27/api/json HTTP/1.1" 200 1209
10.173.2.102 - - [07/Aug/2017:21:18:40 -0700] "GET /jenkins/job/160SP03PL02_SRS_DAILY_BUILD_AND_DROP_TO_ASE/27/api/json HTTP/1.1" 200 1209
10.173.2.102 - - [07/Aug/2017:21:19:41 -0700] "GET /jenkins/job/160SP03PL02_SRS_DAILY_BUILD_AND_DROP_TO_ASE/27/api/json HTTP/1.1" 200 1209
10.173.2.102 - - [07/Aug/2017:21:20:41 -0700] "GET /jenkins/job/160SP03PL02_SRS_DAILY_BUILD_AND_DROP_TO_ASE/27/api/json HTTP/1.1" 200 1209
