10.58.180.73 - - [21/Dec/2017:00:39:55 -0800] "POST /jenkins/job/SRS_RMA_BUILD_TRIGGER_BY_RMADEV_160SP03PL04/buildHistory/ajax HTTP/1.1" 200 51
10.173.2.102 - - [21/Dec/2017:11:44:44 -0800] "GET /jenkins/job/SP307_SRS_DAILY_BUILD_AND_DROP_TO_ASE/api/json/ HTTP/1.1" 200 80533
10.173.2.102 - - [21/Dec/2017:11:44:44 -0800] "POST /jenkins/job/SP307_SRS_DAILY_BUILD_AND_DROP_TO_ASE/build?delay=0 HTTP/1.1" 201 -
10.173.2.102 - - [21/Dec/2017:11:44:44 -0800] "GET /jenkins/job/SP307_SRS_DAILY_BUILD_AND_DROP_TO_ASE/223/api/json HTTP/1.1" 200 534
10.173.2.102 - - [21/Dec/2017:11:44:45 -0800] "GET /jenkins/job/SP307_SRS_DAILY_BUILD_AND_DROP_TO_ASE/223/api/json HTTP/1.1" 200 534
10.173.2.102 - - [21/Dec/2017:11:45:45 -0800] "GET /jenkins/job/SP307_SRS_DAILY_BUILD_AND_DROP_TO_ASE/223/api/json HTTP/1.1" 200 869
10.173.2.102 - - [21/Dec/2017:11:46:45 -0800] "GET /jenkins/job/SP307_SRS_DAILY_BUILD_AND_DROP_TO_ASE/223/api/json HTTP/1.1" 200 875
10.173.2.102 - - [21/Dec/2017:11:47:45 -0800] "GET /jenkins/job/SP307_SRS_DAILY_BUILD_AND_DROP_TO_ASE/223/api/json HTTP/1.1" 200 875
10.173.2.102 - - [21/Dec/2017:11:48:45 -0800] "GET /jenkins/job/SP307_SRS_DAILY_BUILD_AND_DROP_TO_ASE/223/api/json HTTP/1.1" 200 875
10.173.2.102 - - [21/Dec/2017:11:49:45 -0800] "GET /jenkins/job/SP307_SRS_DAILY_BUILD_AND_DROP_TO_ASE/223/api/json HTTP/1.1" 200 875
10.173.2.102 - - [21/Dec/2017:11:50:45 -0800] "GET /jenkins/job/SP307_SRS_DAILY_BUILD_AND_DROP_TO_ASE/223/api/json HTTP/1.1" 200 875
10.173.2.102 - - [21/Dec/2017:11:51:45 -0800] "GET /jenkins/job/SP307_SRS_DAILY_BUILD_AND_DROP_TO_ASE/223/api/json HTTP/1.1" 200 875
10.173.2.102 - - [21/Dec/2017:11:52:46 -0800] "GET /jenkins/job/SP307_SRS_DAILY_BUILD_AND_DROP_TO_ASE/223/api/json HTTP/1.1" 200 875
10.173.2.102 - - [21/Dec/2017:11:53:46 -0800] "GET /jenkins/job/SP307_SRS_DAILY_BUILD_AND_DROP_TO_ASE/223/api/json HTTP/1.1" 200 875
